Time,Temp_Max,Temp_Avg,Temp_Min,Dew_Max,Dew_Avg,Dew_Min,Hum_Max,Hum_Avg,Hum_Min,WS_Max,WS_Avg,WS_Min,Pres_Max,Pres_Avg,Pres_Min,Precipitation (in)
1,42,34.3,22,31,23.2,14,89,67,36,15,6.7,0,30.2,29.8,29.6,0.07
2,36,27.6,18,25,19.4,13,84,72.2,50,6,1.6,0,30.3,30.2,30.1,0
3,39,35.9,32,36,31.8,24,92,85.3,70,15,7.3,0,30.1,29.9,29.2,0
4,46,37.8,31,36,30.1,10,89,75.8,39,15,7.8,3,29.3,29.1,29.1,0.53
5,31,28,24,12,6.1,2,55,39.8,33,22,9.4,3,29.7,29.5,29.3,0
6,30,25.6,20,21,14.4,6,86,64.7,43,13,4.9,0,30,29.8,29.7,0
7,20,18.2,17,14,10.2,7,84,71.5,57,15,7.9,0,30.1,30,29.8,0
8,21,15.2,9,12,0.5,-6,81,54.2,30,14,8,5,30.2,29.9,29.8,0.04
9,20,13.2,5,3,-1.6,-6,73,53,36,13,4.6,0,30.4,30.3,30.2,0
10,39,25.5,5,37,18.4,0,93,75.2,53,18,5.2,0,30.4,30.2,29.9,0
11,53,45.5,38,40,33.6,24,93,65.8,32,17,10.6,0,30,29.9,29.8,0.16
12,58,49.2,39,49,44.5,35,93,84.1,70,14,7.9,0,29.9,29.7,29.6,0.05
13,55,38.7,22,48,17.4,-4,77,44.5,21,21,13.1,5,30.4,30.1,29.7,0.05
14,29,22.8,15,11,0.4,-6,49,38.1,29,12,4.6,0,30.4,30.3,30,0
15,35,26.4,19,15,11.2,9,77,54.5,34,15,4.7,0,30.1,30,29.9,0
16,39,26.8,14,18,13.1,8,80,58.9,36,9,3.2,0,30.1,30.1,29.9,0
17,43,32.3,21,31,23.7,14,92,73.2,37,12,4.8,0,30,29.9,29.8,0
18,34,31.9,30,31,28.6,26,92,87.6,82,12,7.7,3,29.8,29.8,29.7,0.34
19,40,33.2,30,34,28.8,26,89,84.1,73,6,1.9,0,29.8,29.7,29.7,0.02
20,38,33.6,28,30,28.2,25,92,80.8,70,5,1.1,0,29.8,29.7,29.6,0
21,51,40.7,34,39,34.5,29,89,79.3,63,7,2.9,0,29.6,29.5,29.4,0
22,40,36.4,34,35,32.4,29,93,85.8,82,13,5.5,0,29.8,29.6,29.5,0
23,34,31.5,30,27,24.4,22,85,75.2,66,16,12.3,8,29.8,29.7,29.6,0.03
24,37,32,30,33,27.5,24,89,83.5,75,22,15.4,9,29.5,29.3,29.1,0
25,39,36.7,35,32,26.9,23,86,68.5,53,18,10.3,0,29.3,29.2,29.1,0.02
26,51,41.3,37,35,30.4,24,86,66.7,45,16,8,0,29.3,29.1,28.9,0
27,40,38.3,36,25,19.8,16,60,47.8,38,21,12.4,6,29.2,29.1,29.1,0
28,38,35.7,32,19,17.8,16,52,48.3,41,15,8.8,5,29.4,29.3,29.1,0
29,39,32.7,27,21,15.1,9,67,50,33,13,6.3,0,29.4,29.4,29.4,0
30,34,27.6,20,13,9,6,74,47.2,31,13,5.8,0,29.6,29.5,29.4,0
31,28,22.8,15,19,9.4,1,81,58.1,36,12,5,0,29.7,29.6,29.6,0
1,39,27.3,24,26,20.5,16,88,76.7,48,12,2.7,0,29.7,29.6,29.5,0.06
2,38,30.1,23,19,14.5,9,75,53.7,38,15,6.8,3,29.8,29.7,29.7,0
3,31,26,21,10,7.5,5,60,46.1,35,12,6.7,0,29.9,29.8,29.8,0
4,31,25,18,8,5,1,60,43.7,29,15,8.6,3,30,29.9,29.8,0
5,40,32,24,20,12.5,7,51,44.8,32,16,9.3,5,29.9,29.6,29.4,0
6,36,31.6,27,20,7.8,-2,56,37.7,24,15,9.5,3,29.8,29.7,29.5,0
7,31,24.4,20,23,18.8,16,86,79.7,54,16,9.8,0,29.9,29.8,29.5,0
8,50,28.9,20,34,22.6,16,93,79.1,44,15,4.7,0,29.5,29.4,29.3,0.35
9,33,22.7,10,24,15.2,-4,85,73.6,51,26,13.7,6,29.6,29.4,29.3,0
10,20,13.5,8,2,-6.2,-11,70,43.2,25,21,8.7,3,29.9,29.8,29.6,0.16
